tweet_id,timestamp,source,rating,name,dogs_stage,jpg_url,img_num,breed,confidence,date_created,favorite_count,retweet_count
667405339315146752,2015-11-19 18:13:27+00:00,Twitter for iPhone,7,Biden,None,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg,1,Saint_Bernard,0.381377,2015-11-19 18:13:27+00:00,409,196
667435689202614272,2015-11-19 20:14:03+00:00,Twitter for iPhone,12,None,None,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg,1,Rottweiler,0.999091,2015-11-19 20:14:03+00:00,266,76
667437278097252352,2015-11-19 20:20:22+00:00,Twitter for iPhone,10,None,None,https://pbs.twimg.com/media/CUM2qWaWoAUZ06L.jpg,1,none,0.0,2015-11-19 20:20:22+00:00,396,197
667443425659232256,2015-11-19 20:44:47+00:00,Twitter for iPhone,6,None,None,https://pbs.twimg.com/media/CUM8QZwW4AAVsBl.jpg,1,none,0.0,2015-11-19 20:44:47+00:00,681,486
667453023279554560,2015-11-19 21:22:56+00:00,Twitter Web Client,11,Cupcake,None,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,1,Labrador_retriever,0.8256700000000001,2015-11-19 21:22:56+00:00,279,73
667455448082227200,2015-11-19 21:32:34+00:00,Twitter Web Client,7,Reese,None,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,1,Tibetan_terrier,0.676376,2015-11-19 21:32:34+00:00,171,53
667470559035432960,2015-11-19 22:32:36+00:00,Twitter Web Client,11,a,None,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,1,toy_poodle,0.304175,2015-11-19 22:32:36+00:00,225,85
667491009379606528,2015-11-19 23:53:52+00:00,Twitter Web Client,7,None,None,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,1,borzoi,0.852088,2015-11-19 23:53:52+00:00,456,189
667495797102141441,2015-11-20 00:12:54+00:00,Twitter Web Client,9,Philippe,None,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,1,Chihuahua,0.143957,2015-11-20 00:12:54+00:00,456,231
667502640335572993,2015-11-20 00:40:05+00:00,Twitter Web Client,11,Hall,None,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,1,Labrador_retriever,0.996709,2015-11-20 00:40:05+00:00,485,193
667517642048163840,2015-11-20 01:39:42+00:00,Twitter Web Client,8,Dook,None,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,1,Italian_greyhound,0.125176,2015-11-20 01:39:42+00:00,332,165
667524857454854144,2015-11-20 02:08:22+00:00,Twitter Web Client,12,None,None,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,1,Chesapeake_Bay_retriever,0.0881223999999999,2015-11-20 02:08:22+00:00,1495,964
667393430834667520,2015-11-19 17:26:08+00:00,Twitter for iPhone,8,Fwed,None,https://pbs.twimg.com/media/CUMOyd3XIAAl13H.jpg,1,papillon,0.557009,2015-11-19 17:26:08+00:00,168,50
